Date,Price,Open,High,Low,Vol.,Change %
"Nov 01, 2019","3066,91","3050,72","3066,95","3050,72",-,0.97%
"Oct 31, 2019","3037,56","3046,9","3046,9","3023,19",-,-0.30%
"Oct 30, 2019","3046,77","3039,74","3050,1","3025,96",-,0.33%
"Oct 29, 2019","3036,89","3035,39","3047,87","3034,81",-,-0.08%
"Oct 28, 2019","3039,42","3032,12","3044,08","3032,12",-,0.56%
"Oct 25, 2019","3022,55","3003,32","3027,39","3001,94",-,0.41%
"Oct 24, 2019","3010,29","3014,78","3016,07","3000,42",-,0.19%
"Oct 23, 2019","3004,52","2994,01","3004,78","2991,21",-,0.28%
"Oct 22, 2019","2995,99","3010,73","3014,57","2995,04",-,-0.36%
"Oct 21, 2019","3006,72","2996,48","3007,33","2995,35",-,0.69%
"Oct 18, 2019","2986,2","2996,84",3000,"2976,31",-,-0.39%
"Oct 17, 2019","2997,95","3000,77","3008,29","2991,79",-,0.28%
"Oct 16, 2019","2989,69","2989,68","2997,54","2985,2",-,-0.20%
"Oct 15, 2019","2995,68","2973,61","3003,28","2973,61",-,1.00%
"Oct 14, 2019","2966,15","2965,81","2972,84","2962,94",-,-0.14%
"Oct 11, 2019","2970,27","2963,07","2993,28","2963,07",-,1.09%
"Oct 10, 2019","2938,13","2918,55","2948,46","2917,12",-,0.64%
"Oct 09, 2019","2919,4","2911,1","2929,32","2907,41",-,0.91%
"Oct 08, 2019","2893,06","2920,4","2925,47","2892,66",-,-1.56%
"Oct 07, 2019","2938,79","2944,23","2959,75","2935,68",-,-0.45%
"Oct 04, 2019","2952,01","2918,56","2953,74","2918,56",-,1.42%
"Oct 03, 2019","2910,63","2885,38","2911,13","2855,94",-,0.80%
"Oct 02, 2019","2887,61","2924,78","2924,78","2874,93",-,-1.79%
"Oct 01, 2019","2940,25","2983,69","2992,53","2938,7",-,-1.23%
"Sep 30, 2019","2976,74","2967,07","2983,85","2967,07",-,0.50%
"Sep 27, 2019","2961,79","2985,47","2987,31","2945,53",-,-0.53%
"Sep 26, 2019","2977,62","2985,73","2987,28","2963,71",-,-0.24%
"Sep 25, 2019","2984,87","2968,35","2989,82","2952,86",-,0.62%
"Sep 24, 2019","2966,6","3002,43","3007,98","2957,73",-,-0.84%
"Sep 23, 2019","2991,78","2983,5","2999,15","2982,23",-,-0.01%
"Sep 20, 2019","2992,07","3008,42","3016,37","2984,68",-,-0.49%
"Sep 19, 2019","3006,79","3010,36","3021,99","3003,16",-,0.00%
"Sep 18, 2019","3006,73","3001,5","3007,83","2978,57",-,0.03%
"Sep 17, 2019","3005,7","2995,67","3006,21","2993,73",-,0.26%
"Sep 16, 2019","2997,96","2996,41","3002,19","2990,67",-,-0.31%
"Sep 13, 2019","3007,39","3012,21","3017,33","3002,9",-,-0.07%
"Sep 12, 2019","3009,57","3009,08","3020,74","3000,92",-,0.29%
"Sep 11, 2019","3000,93","2981,41","3000,93","2975,31",-,0.72%
