Date,Price,Open,High,Low,Vol.,Change %,Date,Price,Open,High,Low,Vol.,Change %
"Oct 16, 2005","1,99","1,93","2,03","1,83",4.39B,3.11%,"Oct 16, 2005","1179,59","1186,57","1197,3","1170,55",12.04B,-0.59%
"Oct 09, 2005","1,93","1,85","1,94","1,71",7.36B,5.46%,"Oct 09, 2005","1186,57","1195,9","1196,52","1168,2",11.53B,-0.78%
"Oct 02, 2005","1,83","1,93","1,98","1,81",3.10B,-4.19%,"Oct 02, 2005","1195,9","1228,81","1233,34","1181,92",11.90B,-2.68%
"Sep 25, 2005","1,91","1,93","1,95","1,81",3.18B,0.53%,"Sep 25, 2005","1228,81","1215,29","1229,57","1211,11",10.38B,1.11%
"Sep 18, 2005","1,9","1,82","1,92","1,82",3.06B,3.83%,"Sep 18, 2005","1215,29","1237,91","1237,91","1205,35",11.34B,-1.83%
"Sep 11, 2005","1,83","1,82","1,84","1,76",2.43B,0.00%,"Sep 11, 2005","1237,91","1241,48","1242,6","1224,85",11.24B,-0.29%
"Sep 04, 2005","1,83","1,67","1,83","1,66",3.10B,10.91%,"Sep 04, 2005","1241,48","1218,02","1243,13","1218,02",7.95B,1.93%
"Aug 28, 2005","1,65","1,62","1,68","1,62",1.76B,1.23%,"Aug 28, 2005","1218,02","1205,1","1227,29","1201,07",9.75B,1.07%
"Aug 21, 2005","1,63","1,65","1,68","1,62",1.79B,-0.61%,"Aug 21, 2005","1205,1","1219,71","1228,96","1204,23",8.34B,-1.20%
"Aug 14, 2005","1,64","1,66","1,73","1,63",2.96B,-0.61%,"Aug 14, 2005","1219,71","1230,4","1236,24","1215,93",8.61B,-0.87%
"Aug 07, 2005","1,65","1,54","1,65","1,52",2.14B,7.14%,"Aug 07, 2005","1230,39","1226,42","1242,69","1222,67",9.52B,0.32%
"Jul 31, 2005","1,54","1,52","1,55","1,5",1.39B,1.32%,"Jul 31, 2005","1226,42","1234,18","1245,86","1225,62",9.67B,-0.63%
"Jul 24, 2005","1,52","1,57","1,58","1,51",1.67B,-3.18%,"Jul 24, 2005","1234,18","1233,68","1245,15","1228,15",9.39B,0.04%
"Jul 17, 2005","1,57","1,48","1,57","1,47",2.42B,6.08%,"Jul 17, 2005","1233,68","1227,92","1236,56","1221,13",9.58B,0.47%
"Jul 10, 2005","1,48","1,37","1,5","1,35",4.36B,8.03%,"Jul 10, 2005","1227,92","1211,86","1233,16","1211,86",9.36B,1.33%
"Jul 03, 2005","1,37","1,31","1,37","1,3",1.53B,5.38%,"Jul 03, 2005","1211,86","1194,44","1212,73","1183,55",7.54B,1.46%
"Jun 26, 2005","1,3","1,32","1,36","1,29",2.08B,-3.70%,"Jun 26, 2005","1194,44","1191,57","1204,07","1188,3",8.98B,0.24%
"Jun 19, 2005","1,35","1,35","1,42","1,33",2.26B,-1.46%,"Jun 19, 2005","1191,57","1216,96","1219,59","1191,45",9.71B,-2.09%
"Jun 12, 2005","1,37","1,28","1,38","1,28",2.51B,7.03%,"Jun 12, 2005","1216,96","1198,11","1219,55","1194,51",9.38B,1.57%
"Jun 05, 2005","1,28","1,37","1,38","1,27",3.04B,-6.57%,"Jun 05, 2005","1198,11","1196,02","1208,85","1191,09",8.60B,0.17%
"May 29, 2005","1,37","1,45","1,46","1,35",2.19B,-5.52%,"May 29, 2005","1196,02","1198,78","1205,64","1191,03",7.09B,-0.23%
"May 22, 2005","1,45","1,35","1,46","1,35",2.90B,8.21%,"May 22, 2005","1198,78","1189,28","1199,56","1185,96",8.14B,0.80%
"May 15, 2005","1,34","1,23","1,35","1,23",2.95B,8.06%,"May 15, 2005","1189,28","1154,05","1191,22","1153,64",9.42B,3.05%
"May 08, 2005","1,24","1,33","1,34","1,18",4.53B,-6.77%,"May 08, 2005","1154,05","1171,35","1178,87","1146,18",9.77B,-1.48%
"May 01, 2005","1,33","1,29","1,33","1,29",2.14B,3.10%,"May 01, 2005","1171,35","1156,85","1178,62","1154,71",10.16B,1.25%
"Apr 24, 2005","1,29","1,3","1,34","1,26",3.43B,1.57%,"Apr 24, 2005","1156,85","1152,12","1164,8","1139,19",10.45B,0.41%
"Apr 17, 2005","1,27","1,25","1,35","1,21",4.97B,0.79%,"Apr 17, 2005","1152,12","1142,62","1159,95","1136,15",10.89B,0.83%
"Apr 10, 2005","1,26","1,58","1,58","1,26",7.72B,-19.23%,"Apr 10, 2005","1142,62","1181,2","1190,17","1141,92",10.60B,-3.27%
"Apr 03, 2005","1,56","1,46","1,59","1,43",2.71B,6.85%,"Apr 03, 2005","1181,2","1172,79","1191,88","1167,72",9.31B,0.71%
"Mar 27, 2005","1,46","1,53","1,53","1,45",2.42B,-3.95%,"Mar 27, 2005","1172,92","1171,42","1189,8","1163,69",10.45B,0.13%
"Mar 20, 2005","1,52","1,55","1,57","1,5",2.06B,-0.65%,"Mar 20, 2005","1171,42","1189,65","1189,65","1168,7",7.90B,-1.53%
"Mar 13, 2005","1,53","1,45","1,55","1,41",3.60B,6.25%,"Mar 13, 2005","1189,65","1200,08","1210,54","1182,78",8.53B,-0.87%
"Mar 06, 2005","1,44","1,53","1,54","1,39",4.21B,-5.88%,"Mar 06, 2005","1200,08","1222,12","1229,11","1198,15",7.77B,-1.80%
"Feb 27, 2005","1,53","1,6","1,61","1,47",3.75B,-3.77%,"Feb 27, 2005","1222,12","1211,37","1224,76","1198,13",8.33B,0.89%
